dibap meenates dochur # meenate
I moohuchudate dodol # moohuchudate
he chikimizes framim # chikimize
he chucubates me # chucubate
he jafrocizes fig # jafrocize
he hetates him # hetate
jicok flakifizes buc # flakifize
flidom flifrucizes folat # flifrucize
I dotate kikig # dotate
I difrocate you # difrocate
I flochafugate flubip # flochafugate
jak moohuchudates kofrub # moohuchudate
you fomorate limoodot # fomorate
I hicurize mafrol # hicurize
I chigupize chujal # chigupize
you konate huful # konate
I baxate me # baxate
laglofir gukatizes him # gukatize
I chakate hub # chakate
holud frudubunates flokofog # frudubunate
kafril gahodizes chokeeb # gahodize
he dicizes mabam # dicize
he meekates you # meekate
I dileehatize dujabur # dileehatize
I famihobate you # famihobate
you fralaflugize flafaduc # fralaflugize
glaglol finates chal # finate
you chikimize dohab # chikimize
gahik glugates hek # glugate
you kudirize cholaf # kudirize
you glagufate me # glagufate
dug fabichacates frubuf # fabichacate
gumad baxates me # baxate
I chaleepize kagon # chaleepize
I gokodate choflup # gokodate
I jodocate bufrokeeb # jodocate
you laflinate flidod # laflinate
I dahefize buglub # dahefize
you chibafize gluglufod # chibafize
I hicurize him # hicurize
you dileehatize jocugal # dileehatize
he flochafugates duduf # flochafugate
I bacupize you # bacupize
I fijifize hef # fijifize
you jodocate him # jodocate
he fruxizes gumohib # fruxize
mik machafates me # machafate
hemoog baxates fodolut # baxate
you holidate leeglod # holidate
I glulidate him # glulidate
you glugate jijab # glugate
he fudizes dalil # fudize
he jukates frofux # jukate
I luhimize kibugluk # luhimize
I bikitate flamador # bikitate
you flugize guchad # flugize
he difrocates logal # difrocate
haflig famihobates frichuk # famihobate
you beflogize me # beflogize
job kudirizes jogum # kudirize
he glugates luhajud # glugate
lomeekop dochicizes dudix # dochicize
he flurizes heglof # flurize
bahifrif dalizes globif # dalize
he baxates you # baxate
he mafrogizes chofrofaf # mafrogize
I flugize fufiman # flugize
mojadil glufunates him # glufunate
you hofrutate lobop # hofrutate
you chakate flikut # chakate
gaguhop moohuchudates befrop # moohuchudate
I fruxize loflub # fruxize
cohuk badidizes culil # badidize
dul cugukizes fachut # cugukize
he cuchanates fluber # cuchanate
you fruxize gohom # fruxize
I cuchanate him # cuchanate
laflufrik kudirizes kak # kudirize
I glagufate homax # glagufate
he flakifizes kimool # flakifize
flugan bunates him # bunate
I dukoxate me # dukoxate
bebilip baxates him # baxate
you cuhafize me # cuhafize
you baxate me # baxate
I finate chal # finate
I fomorate leel # fomorate
gohub jobupates moomeeg # jobupate
he duficates you # duficate
bamaf fruxizes me # fruxize
he jukates dar # jukate
miglun fralaflugizes kihin # fralaflugize
he fijifizes me # fijifize
he comikizes fubegom # comikize
dufajac dirizes cur # dirize
I jakunate kiber # jakunate
you fiflagize flubek # fiflagize
you chigolate leedob # chigolate
flom fridates fraful # fridate
hilor hidorates lukulix # hidorate
you chihuxize me # chihuxize
I flodoxize cochof # flodoxize
he facufizes leechod # facufize
I dochicize dudix # dochicize
I kudikate had # kudikate
I glagufate me # glagufate
I flobikabate gachad # flobikabate
dikeel dobelitizes flulix # dobelitize
he hebinizes him # hebinize
he fruxizes me # fruxize
he hebinizes glaf # hebinize
I glagufate him # glagufate
gab florates fral # florate
he meekates frihabin # meekate
mihak glagufates chuleed # glagufate
michob fihoglalizes gafac # fihoglalize
he hebinizes jular # hebinize
he flofalates bolufod # flofalate
chafrab fruxizes him # fruxize
you bapize dobog # bapize
I frudubunate moomoflab # frudubunate
beluf jodocates filibic # jodocate
I meelagate lon # meelagate
leehed dadikodizes you # dadikodize
leehex gukatizes chokog # gukatize
chihif jodocates lir # jodocate
I chigupize duher # chigupize
lir flugizes keelumok # flugize
he dalizes him # dalize
you fudize frachin # fudize
you leegaxate gon # leegaxate
hoflaglub bapizes chucuc # bapize
