I fruculize jabak # fruculize
you dumofize flichukeet # dumofize
moof chalidanizes fajujip # chalidanize
frifum flagluglopizes jokeex # flagluglopize
he bumoomeemizes kahek # bumoomeemize
frikun laglafagates him # laglafagate
dic meemomizes jik # meemomize
he hofranizes me # hofranize
fak jugukizes dup # jugukize
chogab fruglagates me # fruglagate
you lafate gachof # lafate
you flofligize gukud # flofligize
he bajadates gobofrol # bajadate
I bajadate flac # bajadate
you hofranize kukuk # hofranize
he fracates jomoob # fracate
coman hemabizes kojog # hemabize
you lufopize me # lufopize
bix bukates chumip # bukate
you flofligize you # flofligize
I domeemize mabel # domeemize
he futates hijadug # futate
beglul bajadates lak # bajadate
keep fracates glaglabim # fracate
chichul choglorizes chabam # choglorize
I duchamagize him # duchamagize
I jafachodate dix # jafachodate
you bacize gam # bacize
he flirizes me # flirize
I choglorize lakog # choglorize
I kimoofize gladat # kimoofize
fob fujolifates him # fujolifate
you flofate you # flofate
you dumofize fafralif # dumofize
juhimoot hofranizes hedok # hofranize
you mafunate me # mafunate
you flagluglopize moofrud # flagluglopize
he flofligizes frifruk # flofligize
I comoodate leechon # comoodate
he cuflanates flod # cuflanate
gomim fujolifates luflaf # fujolifate
fifrox futates kok # futate
kodic flofligizes golat # flofligize
I futate me # futate
jihon bajodizes him # bajodize
he gugates mooflot # gugate
hed bajadates gobofrol # bajadate
he domeemizes flagal # domeemize
he hoglupates flichon # hoglupate
you frukeefate me # frukeefate
kokap kokacates bubix # kokacate
ladum comoodates hoc # comoodate
I flihakate me # flihakate
you jimimeenize me # jimimeenize
you laglafagate faglojog # laglafagate
hocuk godizes chuchof # godize
bacudim kocopizes jojar # kocopize
you ficize frihab # ficize
I gugate judud # gugate
frifrilid fujolifates lix # fujolifate
kafrux keehogates you # keehogate
you bajadate bir # bajadate
he flofligizes me # flofligize
I laglafagate me # laglafagate
you kimoofize flimog # kimoofize
hofigok fruglagates frun # fruglagate
I kifokize flimac # kifokize
I choglorize bufrot # choglorize
glaflofum kokacates guglad # kokacate
I mafunate chobom # mafunate
he bajadates him # bajadate
he dafoxizes mooflobek # dafoxize
he bukates chat # bukate
he bumoomeemizes cuk # bumoomeemize
biflaflun kofofluxates me # kofofluxate
he gugates gohor # gugate
fit fokeecizes foc # fokeecize
you flokeekate me # flokeekate
you kimoofize frachid # kimoofize
I flufrilate him # flufrilate
