I mokate hechafrit # mokate
you jilotize you # jilotize
he beflapizes chox # beflapize
glujod flichakizes him # flichakize
I budize you # budize
I lumootate me # lumootate
I majumate you # majumate
I buflagate fufrir # buflagate
he gafonates him # gafonate
jokul glahedates bic # glahedate
you jimate chibug # jimate
he bokeepates you # bokeepate
chaflut choloflamizes me # choloflamize
he beflapizes kodor # beflapize
I flocate jak # flocate
he chucates dichif # chucate
you lodize glalib # lodize
dib gluharizes you # gluharize
he choloflamizes kilug # choloflamize
bufrilox lodizes mimil # lodize
I gafonate you # gafonate
he liglulizes kofrit # liglulize
you fifugize limoom # fifugize
glafom flamizes flugap # flamize
I jilabize hiduf # jilabize
chakag fiflutizes makichax # fiflutize
he bocorizes gugak # bocorize
I lumootate you # lumootate
I jilabize you # jilabize
he gafonates michux # gafonate
jochot gubufates you # gubufate
you gamoxize fihefob # gamoxize
gujub choloflamizes hib # choloflamize
he leefrirates gubig # leefrirate
moohelim kakeexates kukeeham # kakeexate
he chabokaxizes gaful # chabokaxize
I budize kaleef # budize
I beflapize kodor # beflapize
you chochafate floben # chochafate
he lokeehulates meefix # lokeehulate
you gamoxize bololun # gamoxize
he frukeetates lidad # frukeetate
you frukeetate him # frukeetate
you jimate chibug # jimate
he hoflufates him # hoflufate
I choloflamize you # choloflamize
flufibob bebufutizes me # bebufutize
he beflapizes me # beflapize
he fochipates midom # fochipate
he meemoopizes dijof # meemoopize
chufal leemopates moohoc # leemopate
you jimate max # jimate
he jimates frog # jimate
I jilabize lit # jilabize
he buchibucizes you # buchibucize
hicham flijibizes you # flijibize
you meechubize flugafot # meechubize
I chagize you # chagize
dokeel chagizes homir # chagize
I frubarate bomad # frubarate
keecug beflapizes lijar # beflapize
he jimates hap # jimate
I mogate him # mogate
he kofitates chofugab # kofitate
frobafax jilabizes bic # jilabize
dox kadoxizes me # kadoxize
he kugluxizes jukig # kugluxize
you frubarate fod # frubarate
you beflapize flad # beflapize
he hehahupates bajoc # hehahupate
he cufrurizes you # cufrurize
moochut jimates dol # jimate
kimac beflapizes lodil # beflapize
I chagize hicor # chagize
he jimates him # jimate
chok kofitates had # kofitate
he beflapizes glalol # beflapize
he kachokoxates him # kachokoxate
