mahen hefates him # hefate
I leetize you # leetize
he fijumizes lifrof # fijumize
keechad flifakizes him # flifakize
I gladarate you # gladarate
flax globagizes you # globagize
johobeg leedofaxates you # leedofaxate
he mookomizes frokif # mookomize
you habulize him # habulize
dar cogizes frukux # cogize
I chohudadate kujom # chohudadate
fuflon fihirizes fubimor # fihirize
he leetizes dux # leetize
flaf fuchagates fridux # fuchagate
you leetize goflaf # leetize
he hihupates joc # hihupate
he kidifates kogag # kidifate
you chachitate him # chachitate
kax hekates lolod # hekate
he fuhulizes him # fuhulize
jikof kolates lumax # kolate
frap lofamates me # lofamate
you guflimate me # guflimate
you keejohunate him # keejohunate
bol leelulates you # leelulate
I bijanate you # bijanate
I fatate frigacun # fatate
digubem cubumabizes jofin # cubumabize
bikid lumimagates mijodap # lumimagate
I mokochacize hileet # mokochacize
you gohunize frugot # gohunize
you lojalize gom # lojalize
you cufize foflujid # cufize
you lulifize flolar # lulifize
he madipizes doflap # madipize
I moolifragize me # moolifragize
you glofoxate diflot # glofoxate
I frojarize kichax # frojarize
bil gohunizes you # gohunize
he glofoxates hufrufrob # glofoxate
I momoolicize me # momoolicize
you hogate me # hogate
komafap fuhulizes cub # fuhulize
he hijonates him # hijonate
he gohunizes me # gohunize
you ducotize him # ducotize
he fiflichobizes him # fiflichobize
com gohunizes me # gohunize
you chuflorate dofukap # chuflorate
kudor lochodizes frufrafrar # lochodize
he leetizes flan # leetize
you dalubagate big # dalubagate
fujib cubumabizes kof # cubumabize
mog flomizes moomohox # flomize
moocuc lukumeelizes me # lukumeelize
mil ducotizes chuguc # ducotize
you meeglonate frabid # meeglonate
loglog leetizes flan # leetize
he hihupizes fluhan # hihupize
he chufruxizes hac # chufruxize
I cogize dahib # cogize
he fuhulizes fohug # fuhulize
I kokate kaglaf # kokate
you lukumeelize ludifrun # lukumeelize
I babaxate fluk # babaxate
you fuhulize frahex # fuhulize
he bikeemates kojin # bikeemate
miflimif kakates char # kakate
I frifralize hikim # frifralize
I guflimate him # guflimate
fujib cubumabizes lichoflux # cubumabize
fomil haleexizes him # haleexize
I flomize holix # flomize
