you gukate didog # gukate
you majinate leekeet # majinate
I fricobate keedix # fricobate
I flalikeecate globad # flalikeecate
you joleedize dut # joleedize
he hagates dakiglal # hagate
I hehutate lut # hehutate
dif hikates lur # hikate
kaglot kufrapates luleep # kufrapate
he dokizes max # dokize
keec higlulates me # higlulate
you dokize you # dokize
he lichalizes bukak # lichalize
frilar heflunizes lat # heflunize
I kudodize dafof # kudodize
I hulize friflac # hulize
fromid kiflilizes him # kiflilize
you molinate jodafun # molinate
I logopize gloglux # logopize
jakeer moleefanizes chur # moleefanize
I lakoxate gladur # lakoxate
he lichalizes gumoobem # lichalize
he hijitates frojifix # hijitate
I chohikize baflur # chohikize
lulat kamizes hin # kamize
I moleefanize dojum # moleefanize
galol dadizes you # dadize
cohun mofizes ligluf # mofize
he frigaglacizes jofraf # frigaglacize
I moleefanize flub # moleefanize
liflod kafloflifizes her # kafloflifize
I chuhomoodate fradix # chuhomoodate
I digize kuhat # digize
you frokuxate gajur # frokuxate
he joholates lileep # joholate
I gohugize hehip # gohugize
you kacunate luk # kacunate
glogafom meemonates gaglum # meemonate
lok dokizes me # dokize
he moleefanizes him # moleefanize
he frifates mobon # frifate
you chafize flom # chafize
he chudorates him # chudorate
you chafritate jimeed # chafritate
he flalikeecates me # flalikeecate
you glukate frugop # glukate
he keefladizes fradub # keefladize
fluhakir chudorates lilimoob # chudorate
guglud flifrodates flifikof # flifrodate
you kafloflifize folat # kafloflifize
you chucate luflor # chucate
you moleefanize bacup # moleefanize
I molinate him # molinate
kil flifrodates kokeex # flifrodate
but molinates leemad # molinate
you digize me # digize
I hikate him # hikate
I jucukize dulaglud # jucukize
I bajagize hofrar # bajagize
flifob gohugizes lukeef # gohugize
frub dokizes max # dokize
he digizes gloher # digize
jogoc kafloflifizes lodajuc # kafloflifize
he kafloflifizes bofrut # kafloflifize
he chufafates him # chufafate
haflochor hikates lafrub # hikate
he chododates kimon # chododate
I glulize moobam # glulize
he bitates gaf # bitate
I lichalize momoob # lichalize
moohof chudorates me # chudorate
chulur flifrodates flahop # flifrodate
frihax frohaflirates huhon # frohaflirate
hifrumak faflohimates jilafot # faflohimate
I fakokize cok # fakokize
kifrup chichonates him # chichonate
glufaflub mifamizes him # mifamize
kokeep hikates goheb # hikate
he kafloflifizes maluk # kafloflifize
glojor bitates holeem # bitate
kimok joleedizes juf # joleedize
I komabize glahen # komabize
