you jufrunize you # jufrunize
lojac cochuxates lulob # cochuxate
I magakize buk # magakize
I glamate lojifrin # glamate
I gorize him # gorize
I jachibate meelux # jachibate
you fihegate gab # fihegate
he frarizes fugloc # frarize
frahon kuhegizes gafrik # kuhegize
I hotate him # hotate
cochub frumirizes him # frumirize
I jochogadate cot # jochogadate
you bumeenize gloglum # bumeenize
you luchodicize him # luchodicize
kubib meerizes me # meerize
flabit kajihofizes frofar # kajihofize
he folates keer # folate
I meedicate me # meedicate
you gudoxize habahab # gudoxize
he cuhabates culif # cuhabate
I fohachuxate gojog # fohachuxate
you kikikate gad # kikikate
I fohachuxate hoguhad # fohachuxate
I kugize flojon # kugize
you hiflogize frahex # hiflogize
cholal gamarizes choleet # gamarize
I cofatate flodol # cofatate
he kinizes fufrab # kinize
coher gufrokates jokix # gufrokate
you cudilifate chufrof # cudilifate
jabeg fafrinates fradulal # fafrinate
gadix meegolizes buflil # meegolize
you flokidize you # flokidize
kufux fohucutizes keec # fohucutize
he koflojagates glucug # koflojagate
you glufibize you # glufibize
I jochogadate mabemap # jochogadate
I fuflacize leemeep # fuflacize
you kinize kogok # kinize
you luchodicize frur # luchodicize
you hogalixize keejot # hogalixize
he hukilizes midot # hukilize
I michonate me # michonate
he facates holaflot # facate
I befroglarize gajur # befroglarize
you judipate huboglud # judipate
I jichupize frog # jichupize
he domizes you # domize
kab jochogadates kaflun # jochogadate
fomal jiglajimates glagux # jiglajimate
dujagog dufizes you # dufize
you koflojagate fruchub # koflojagate
you keedarize bojup # keedarize
he facates gufit # facate
he lolizes you # lolize
he dijichupizes you # dijichupize
he meerizes him # meerize
he huguleexates moleeg # huguleexate
jifrip bubitizes me # bubitize
you glulakate mofraf # glulakate
he hakeelizes hehim # hakeelize
I frumirize kuf # frumirize
flicuk cunates gumofluc # cunate
you jochogadate me # jochogadate
you gafilotize flugan # gafilotize
bahuc fohachuxates him # fohachuxate
you lochamidize baf # lochamidize
you fohachuxate moofic # fohachuxate
con furizes me # furize
flomoot chudizes fluc # chudize
I guflolize flufon # guflolize
you bunate gad # bunate
he kahajudizes cogafir # kahajudize
kukod bekeemoxates you # bekeemoxate
he chujifates hecol # chujifate
