I flogate bulafroc # flogate
he madates daluf # madate
I makibate leedul # makibate
gubip keechacizes gamom # keechacize
you fobakadize glajog # fobakadize
I mokupate kaflug # mokupate
he kujodizes keebix # kujodize
he lilucates me # lilucate
I kaglotize dum # kaglotize
I dofimate kolur # dofimate
kaglan makibates fruhifuf # makibate
kamok dichitates leet # dichitate
he flochotates lifix # flochotate
I lomeecorize gluful # lomeecorize
chaf frafrunizes himac # frafrunize
he fobakadizes glajog # fobakadize
I dahunate chalun # dahunate
you fobakadize him # fobakadize
he jufigizes lakan # jufigize
you makibate glocor # makibate
chat kujodizes her # kujodize
you jalolize me # jalolize
he fagutates frud # fagutate
I leefrogaxize me # leefrogaxize
he kubacates glameeb # kubacate
he chafidizes you # chafidize
hejamooc dichitates dulux # dichitate
I batate frobun # batate
he hukagizes kibeb # hukagize
cufax glotizes kugom # glotize
mabojal dichitates hidur # dichitate
koglak fruflopizes gluchaglug # fruflopize
he flididates frochac # flididate
I dofloxize gladib # dofloxize
mab dichitates chut # dichitate
I gufate chuboc # gufate
you chameefate duman # chameefate
chococ fobakadizes fafox # fobakadize
he keemoxizes kukeel # keemoxize
meelak momifizes guchijox # momifize
you frafrunize chalif # frafrunize
diflal bahoficizes fub # bahoficize
he dofimates moolox # dofimate
modin fobakadizes me # fobakadize
I chufanize dojic # chufanize
he jafokizes chuchodib # jafokize
fuhuchir helumifates hagofluk # helumifate
baflog falaglucates glochocud # falaglucate
he bikihukates you # bikihukate
flakil dichitates me # dichitate
I fakurate dad # fakurate
leefud chufanizes glacom # chufanize
you diglogize you # diglogize
chifrap digates liglam # digate
I jalolize kiglok # jalolize
he chamamookates him # chamamookate
I fobakadize him # fobakadize
I jodize hehemeer # jodize
I kaglotize chikigluk # kaglotize
you moojorate miglon # moojorate
I lilucate fofum # lilucate
he dichitates dalum # dichitate
I keemoxize jux # keemoxize
you lilucate hamocux # lilucate
hadubur lubadates frofrahif # lubadate
I jalolize hileek # jalolize
he kujodizes cukum # kujodize
he fobakadizes bolil # fobakadize
glut hufrugates you # hufrugate
I kuglofrarate loflafuf # kuglofrarate
jibichax dichitates kuleeb # dichitate
I jipate higabed # jipate
I hobalize chaflujoc # hobalize
he gofrudizes flogap # gofrudize
he meeleekizes bikud # meeleekize
haf fobakadizes me # fobakadize
you bexize meeglul # bexize
you glufrunize you # glufrunize
he keemoxizes glacor # keemoxize
frikom glabilizes him # glabilize
you dichitate bomoox # dichitate
