chikeegan duglulizes laleef # duglulize
keeleeb frofixates fric # frofixate
you chafagize dun # chafagize
he fadagutizes lin # fadagutize
leefol chohichoxates me # chohichoxate
moolon fachoxizes me # fachoxize
you fokifate gluglug # fokifate
I flibate kibob # flibate
gomid chochulizes you # chochulize
you flicorate you # flicorate
you flufrarize dujol # flufrarize
he kachudizes bidochon # kachudize
lahilun flicorates frochig # flicorate
I behicize fralun # behicize
I glalatate lifal # glalatate
you meedajanize fic # meedajanize
he frofixates ladihel # frofixate
I jutate you # jutate
I locate me # locate
fujib behicizes dihuf # behicize
meeglahak behicizes jup # behicize
you kiflinize him # kiflinize
you kabimize frul # kabimize
he buhofrobizes bidifig # buhofrobize
you behicize lajoc # behicize
bochaloc kijorates bicun # kijorate
mooflod chohichoxates cun # chohichoxate
you buhirize milot # buhirize
coflob kohurates kibet # kohurate
lahun hadumates cuflit # hadumate
he fubekizes lux # fubekize
I hifritate chichabep # hifritate
you chobanate domip # chobanate
you chohichoxate him # chohichoxate
he hiflobagizes johin # hiflobagize
he chudates fohihog # chudate
I frofixate me # frofixate
I chohichoxate kibuf # chohichoxate
I loxate juflup # loxate
docuf locates glad # locate
he leekinizes fifud # leekinize
glub joglakates fudid # joglakate
he meedajanizes hihif # meedajanize
mafub locates hir # locate
frulab chudates biframic # chudate
I chimeefrabize fladum # chimeefrabize
bohem locates him # locate
I frofixate him # frofixate
he chohichoxates lachidaf # chohichoxate
dofut fokifates jad # fokifate
he mobomidizes meechot # mobomidize
jum flumofizes you # flumofize
I bogofate you # bogofate
you hujumize juhuk # hujumize
mobadik meedajanizes you # meedajanize
I keepize jufrim # keepize
he firates gok # firate
you kiflinize jikit # kiflinize
you lichorize me # lichorize
he chohichoxates hen # chohichoxate
lalox gladigates fraflic # gladigate
he faflagizes me # faflagize
he heflofralizes him # heflofralize
he kuhafrodates glomab # kuhafrodate
he chobupizes kibaflop # chobupize
he hahoxates bihur # hahoxate
you chogolocize me # chogolocize
he lafrinizes flol # lafrinize
he kofikobates lon # kofikobate
you bahimate keehufaf # bahimate
I leekunize me # leekunize
loflojaf chodigizes me # chodigize
fir flofronizes flokuk # flofronize
