chuflobut frokates flip # frokate
cofliglop mofoxates fralib # mofoxate
you dihikate hachan # dihikate
he mofoxates hobohon # mofoxate
I lifrotize chok # lifrotize
I lihelize mahakon # lihelize
you kubolize mileel # kubolize
you jaglukize babif # jaglukize
I fradimize chafom # fradimize
frufrujik chifruflagizes glub # chifruflagize
chiflul didates him # didate
hocumap leefalilates you # leefalilate
maflibur fligaflutates hifrac # fligaflutate
I daflabemate glax # daflabemate
job kokamitizes lagak # kokamitize
he kokamitizes flijuguk # kokamitize
he cokulizes hug # cokulize
you leefalilate him # leefalilate
bihaf leekizes lil # leekize
he leekizes heg # leekize
you juforize me # juforize
you jifate meehal # jifate
bum leekizes kabub # leekize
you hoflafize mod # hoflafize
glafrub bufropates humim # bufropate
you loducate frochif # loducate
you chahidate kudim # chahidate
you juforize froleem # juforize
you bihukate him # bihukate
I mocomimate gup # mocomimate
he leefalilates me # leefalilate
you mibimoonize bujil # mibimoonize
he meeleexizes bomoom # meeleexize
I fruhoxize kabix # fruhoxize
I culalate you # culalate
he flogabates you # flogabate
I bakaglarate luglur # bakaglarate
I moopize cochuchad # moopize
I daflabemate him # daflabemate
you lofogize flafut # lofogize
you lihelize lok # lihelize
you chahidate kahol # chahidate
he fumafibizes dihaf # fumafibize
you mafranate maduc # mafranate
he fricugladizes bajur # fricugladize
he golorates cumeeboc # golorate
he famates him # famate
I kokamitize me # kokamitize
jakox jobufates me # jobufate
meeleefaf jifipates glakeelop # jifipate
heguk jacates lup # jacate
I flugate me # flugate
he bechugadates colim # bechugadate
falac dihikates guhef # dihikate
chidin chifubizes glof # chifubize
bilab jiheglufizes kolakit # jiheglufize
I habigate lafujak # habigate
froglobum hadikates lax # hadikate
he hahirates moomaduk # hahirate
lig jicates chalodum # jicate
he miflixizes keedic # miflixize
he fligates fruflig # fligate
you flofolize lalok # flofolize
I kalotize you # kalotize
befig kokamitizes me # kokamitize
I flufate frocug # flufate
he flofolizes gofin # flofolize
ful mochofizes him # mochofize
hilob kokamitizes luchif # kokamitize
you biflakate frofib # biflakate
hubegon glofladates jat # glofladate
you juforize makik # juforize
flihon fligates framoor # fligate
you mochofize you # mochofize
keegudig keegodizes keefib # keegodize
he jugocizes me # jugocize
you dameemize him # dameemize
juchib leefalilates kichachag # leefalilate
boc leelumeefizes frijun # leelumeefize
he frujaxates momoog # frujaxate
you moopize you # moopize
I gachatate jafruc # gachatate
you lihelize hen # lihelize
I chukate me # chukate
I fruchulate biflud # fruchulate
frod flibepizes frukuflak # flibepize
you leebodate hiflibid # leebodate
you leefalilate mimook # leefalilate
I chufladize mahaf # chufladize
liflax gahibepizes you # gahibepize
duflam gahibepizes flafop # gahibepize
he hadikates dog # hadikate
he mochofizes me # mochofize
you lihelize him # lihelize
bic dojubizes him # dojubize
