he facates buflibun # facate
mooduc chadokates him # chadokate
you fubogize buglud # fubogize
frolul chucates flahic # chucate
he lorizes you # lorize
he chocizes frad # chocize
I boflipate friglad # boflipate
he gluleenates bileen # gluleenate
he cumotates fogujom # cumotate
laflup hudomates flat # hudomate
moobog lidotizes you # lidotize
lukuchod kokeenates gulog # kokeenate
you chucate lokob # chucate
he chadokates gladuflok # chadokate
I kobate fron # kobate
I chucate cobudif # chucate
dodub chucates me # chucate
he kafridizes frap # kafridize
you falate diglor # falate
maboflir homizes meemocod # homize
you glomamize jicod # glomamize
he kachakeefates cocox # kachakeefate
hejahar bohadakates jok # bohadakate
I belibize me # belibize
you gufakimate jimikid # gufakimate
jifap falates hifruf # falate
bodop kokaditizes hikin # kokaditize
kukufap juchonates choboc # juchonate
I jagakize meebor # jagakize
fobeb dafrotates bahag # dafrotate
he chifotizes you # chifotize
you chucate keehog # chucate
I boflipate job # boflipate
I chucate lufihof # chucate
lic dufrarates him # dufrarate
I falate me # falate
chomoob lofrorates frachodim # lofrorate
ben gaflokates cuchab # gaflokate
he gocubates him # gocubate
I falate you # falate
he baxizes coglar # baxize
chihal chucates fukak # chucate
he juforates duglad # juforate
you falate chocug # falate
leedoc bubodates him # bubodate
I falate you # falate
I duglulize chifir # duglulize
dubug gonates mofrir # gonate
I lorize you # lorize
kachon leejifrotizes me # leejifrotize
gobud boflipates diglof # boflipate
jakeex chucates flahic # chucate
he boflipates me # boflipate
maher boflipates cuhuc # boflipate
I jafakate moocuk # jafakate
you gocubate mob # gocubate
I chadokate gox # chadokate
chakal boflipates lagan # boflipate
I fubogize chibufof # fubogize
he flilabakizes dat # flilabakize
you chucate fumir # chucate
I lifinate you # lifinate
haflokim jidomilizes you # jidomilize
fruglahak bomimogizes cuf # bomimogize
you hakocodize chudikon # hakocodize
I fochipate hoflul # fochipate
I chadokate him # chadokate
galeek kuchohufizes dichar # kuchohufize
you dugalize dofluhor # dugalize
you hifrojomate glohip # hifrojomate
he jidomilizes frojap # jidomilize
kugag falates chichin # falate
I bohadakate me # bohadakate
frifod frufoxates frujok # frufoxate
he froholifizes gokit # froholifize
glakibab bomimogizes lip # bomimogize
hefat lofrorates gluglacod # lofrorate
you chadokate lodaguf # chadokate
you dokonize chokob # dokonize
he chadokates jocuk # chadokate
he flofurizes kikeel # flofurize
he jigalilizes hul # jigalilize
flicham hifrojomates jufum # hifrojomate
flum junizes fluc # junize
cofut kokaditizes jolof # kokaditize
meekum bufobates jafral # bufobate
he gonates you # gonate
I chucate lubec # chucate
you meekifize you # meekifize
you jifilacate juban # jifilacate
