flufrid leelates him # leelate
I gufize you # gufize
mimic kuxizes meehux # kuxize
I gohidunate dachul # gohidunate
frufolup jicates leed # jicate
you cufufupate me # cufufupate
I chokidate gaflan # chokidate
you leenate gumak # leenate
you bajumate him # bajumate
gamooflid flafizes him # flafize
you chakidize glachuf # chakidize
I cuhagate hujad # cuhagate
I jiluherize jahuf # jiluherize
he flikeekumizes froframan # flikeekumize
he huglurizes chogufrut # huglurize
you kubelugate fufor # kubelugate
you moomate kumad # moomate
you bafloconate glan # bafloconate
fuglox lukofizes dalot # lukofize
cufrobil fruflorates me # fruflorate
you fribize lakog # fribize
lifrok flopizes you # flopize
I leexize dak # leexize
he bofripates frichol # bofripate
I kihadize dachap # kihadize
he fachigucizes glogat # fachigucize
mihuc foglufizes fluflad # foglufize
he loflikubates me # loflikubate
moluhox kufizes bachok # kufize
you lachanize him # lachanize
he fribizes chihic # fribize
keeg kufizes kifrumeek # kufize
I kofrucunate fobox # kofrucunate
you colonize him # colonize
you kufize doglamod # kufize
fluglur bakixates habed # bakixate
he dagates you # dagate
I bakixate you # bakixate
I janate dohab # janate
you kubelugate bomab # kubelugate
you gufize homool # gufize
hegok gufizes him # gufize
I gohidunate you # gohidunate
he flumoolizes me # flumoolize
you mooglolate you # mooglolate
he chomobizes flof # chomobize
he gohidunates jibor # gohidunate
I gluflulate hip # gluflulate
I gufize moodafrog # gufize
you bafloconate fakojub # bafloconate
you gluflulate huchubef # gluflulate
flogujap lidabizes you # lidabize
frohucur chucates me # chucate
he cogukizes fodaf # cogukize
I huglurize halod # huglurize
flubib jiluherizes gameef # jiluherize
I gluflulate gudim # gluflulate
I kubelugate frukudon # kubelugate
you kabimize chamol # kabimize
far janates me # janate
you jiluherize him # jiluherize
I duglupize chujilic # duglupize
fulufruk cholatizes fribibel # cholatize
he gohidunates jig # gohidunate
daflun kubelugates hajon # kubelugate
you fribize chugum # fribize
you bitate dofrumeeg # bitate
dimeek chafradizes you # chafradize
fribegud buchikizes kikuk # buchikize
I dagate me # dagate
you daleehimate dar # daleehimate
keehex gohidunates you # gohidunate
I gufize you # gufize
I glochubekize luleem # glochubekize
bahir bonizes mifromab # bonize
frokiflon lijicates loleed # lijicate
kimal gufizes fruchux # gufize
you cococate lolin # cococate
chabik bafloconates difrun # bafloconate
I lachanize fabir # lachanize
I badize meehuf # badize
he kubelugates him # kubelugate
fobab lubonates gadur # lubonate
flidabum bedates flax # bedate
hibor flopizes him # flopize
