he luflotizes kap # luflotize
I cuchabize mamab # cuchabize
I lofilize him # lofilize
I bodirize glafib # bodirize
I dodiflabate jamim # dodiflabate
he fridohamates chuglad # fridohamate
I bodirize glameebip # bodirize
moleeflat buflatates fudir # buflatate
I dakixize you # dakixize
I chagate you # chagate
beglat chufipizes lolalad # chufipize
he fliglojuxates him # fliglojuxate
I bikadacize kukicon # bikadacize
mafof libefrupates me # libefrupate
he fronates him # fronate
he cologlonizes kokadot # cologlonize
lakul bodirizes jiheb # bodirize
I flumoorate fok # flumoorate
you famate dok # famate
he bikadacizes mof # bikadacize
I libefrupate leec # libefrupate
chikig bikadacizes cuf # bikadacize
I bikadacize fuglojux # bikadacize
leeham glafates kiflog # glafate
baflan bamalizes flucolub # bamalize
chur befadimates choglob # befadimate
I bodirize fluf # bodirize
he midofraxates frip # midofraxate
you bikadacize moochon # bikadacize
I bodirize glameebip # bodirize
leep bulokates chuflid # bulokate
he bufrichuxates glomon # bufrichuxate
he hejudates frat # hejudate
you flaflokate mokad # flaflokate
you bodirize mifrubil # bodirize
he guflolizes me # guflolize
I hibokate hucor # hibokate
he mojupizes jahar # mojupize
you helokate hojak # helokate
he bidukates chab # bidukate
I fohifize diflulig # fohifize
flomooglor hilumabates you # hilumabate
he hifamizes me # hifamize
you gloculate lib # gloculate
he bodirizes you # bodirize
hokil kudipizes chamalic # kudipize
he keejakates kaflugat # keejakate
gochaf chimizes lafojuk # chimize
lob libefrupates fuflig # libefrupate
I froflilize chufruk # froflilize
you fajobate glumeeb # fajobate
he libefrupates leec # libefrupate
flaglulac bodirizes kobax # bodirize
flubap keebexizes duber # keebexize
I midofraxate dug # midofraxate
he bikadacizes you # bikadacize
chujocop jamolizes me # jamolize
you chimize glubun # chimize
dufon jafilates biglup # jafilate
chamac frodobates budon # frodobate
I glufripate bid # glufripate
you mobize me # mobize
bet cuchalates gan # cuchalate
jicumim hujogizes meechufix # hujogize
kux bodirizes dakol # bodirize
he frichuxizes him # frichuxize
he kichokukates mogag # kichokukate
you lamoofribate keep # lamoofribate
you bikadacize chifral # bikadacize
I facize glameen # facize
he bikadacizes kobur # bikadacize
