I flacize komac # flacize
flumax fihacates moog # fihacate
I glofrogobize meejim # glofrogobize
he mafunizes me # mafunize
he flufribolizes keebogac # flufribolize
I moofrolate gujir # moofrolate
he flicopizes cuchokut # flicopize
fohul cugizes frochofac # cugize
he kudilumates hik # kudilumate
you keexize mif # keexize
chal halufates flifak # halufate
you bulokate flokag # bulokate
I chubate jubokad # chubate
moglub fihacates him # fihacate
he globizes hucum # globize
he chakutates bediloc # chakutate
I frobebize you # frobebize
he godates me # godate
I bofifize lamap # bofifize
bujof koluhelizes fafron # koluhelize
you frobebize lachan # frobebize
gudux madiglopizes himaf # madiglopize
he jifates him # jifate
I frobebize him # frobebize
you bufate him # bufate
I cugize lit # cugize
dut cugizes gumeet # cugize
I fruglomodate biglag # fruglomodate
he frufodizes keep # frufodize
meemafod frihemeexizes him # frihemeexize
malin jofizes me # jofize
you hikate you # hikate
you flufribolize balor # flufribolize
I becize lubeb # becize
you madiglopize dudujup # madiglopize
you fliflubicize jud # fliflubicize
I globize flileek # globize
I konize flukeen # konize
juglac hadizes me # hadize
he bibopizes bogachax # bibopize
chubik helufizes hag # helufize
buflib hadizes fag # hadize
he jagates guguc # jagate
fluleef fihumizes fon # fihumize
he cofladalizes babibof # cofladalize
he dabidumates hobul # dabidumate
I fagate ligut # fagate
bumoor chufopates duflog # chufopate
belim bichitizes makeen # bichitize
he meenates him # meenate
I buglafate dijud # buglafate
bilihur hadizes hifrap # hadize
kufad huhufludates bujup # huhufludate
I mameerize chudon # mameerize
flajap frihemeexizes him # frihemeexize
I fluflotate meejileer # fluflotate
hodon moflalates me # moflalate
chil flukates kimik # flukate
mofib kukates meelodob # kukate
you buglafate bet # buglafate
you goxize me # goxize
he fihacates humib # fihacate
you flichaxate frun # flichaxate
I keexize lim # keexize
you dabidumate mifric # dabidumate
flim dabidumates domak # dabidumate
glacun halufates jichak # halufate
you frobebize him # frobebize
he dabidumates bifrudum # dabidumate
you fobize me # fobize
gofrumon buglafates him # buglafate
you frobebize you # frobebize
he hofrafligates bimol # hofrafligate
he flukates jalux # flukate
glofob chakutates gulup # chakutate
hukikop dogizes chiflil # dogize
he dufatates me # dufatate
he flichafates him # flichafate
he fulizes you # fulize
he meedizes him # meedize
you jaladate fromoor # jaladate
juflocob bibopizes chichudol # bibopize
he damobizes dubehip # damobize
bux kudilumates chachul # kudilumate
you balunize jachal # balunize
fril cugizes jil # cugize
fluhal dafirizes kiglucom # dafirize
you moluchatize you # moluchatize
you kupize you # kupize
I halufate him # halufate
