he glubutizes me # glubutize
he biglolizes choflum # biglolize
he gojopizes domot # gojopize
cofruhug kijimigizes him # kijimigize
you doflutize hoglab # doflutize
I flokuglugize me # flokuglugize
hihak fumigodizes kakub # fumigodize
he himeelubizes beg # himeelubize
you jigorize glomaleeg # jigorize
I jagate koflak # jagate
he fradadates hulin # fradadate
gap jadunizes you # jadunize
I flogudize frol # flogudize
he bohulizes keefroflim # bohulize
you chodalize culeer # chodalize
he glafrukates jugog # glafrukate
I glofratate facof # glofratate
he glafrukates kolop # glafrukate
kuhuhil motizes faglok # motize
I lihulate leef # lihulate
I modurate him # modurate
he hotizes keefror # hotize
I jihaxate dimoog # jihaxate
you biglolize frimit # biglolize
you flogudize habub # flogudize
he jagates loduf # jagate
he lalolizes him # lalolize
he frobates humab # frobate
duglar hukeedates fofum # hukeedate
I hukeedate kuc # hukeedate
you flogudize me # flogudize
you famize fix # famize
you jagate koflak # jagate
he globates me # globate
I jihaxate gujibox # jihaxate
he fruleeglogizes me # fruleeglogize
I higate me # higate
I glafrukate you # glafrukate
I garate meemad # garate
bip frobates locup # frobate
I globate fugox # globate
he hukeedates glochacor # hukeedate
guglab lodizes jufloglal # lodize
moolam biglolizes lim # biglolize
I cojumapate you # cojumapate
he jagates glac # jagate
kuchul keegluxates you # keegluxate
I frobate glol # frobate
bap hukeedates hihik # hukeedate
hobobag forates flaheb # forate
bakak glafrukates flimidur # glafrukate
I fumigodize you # fumigodize
I dumanize glafrib # dumanize
he frujixates frumic # frujixate
you hudapize flibaf # hudapize
you globate glocup # globate
you jajurize him # jajurize
I meefrunate you # meefrunate
you jubize him # jubize
faf jihaxates gohot # jihaxate
you beflubate me # beflubate
heglux chodalizes jifigluk # chodalize
I himeelubize flufruguf # himeelubize
I juchocate dudim # juchocate
he globates frut # globate
framof globates jihik # globate
flap juchocates him # juchocate
chukomeeb hukeedates you # hukeedate
he ladagates duleelit # ladagate
I globate me # globate
you jagate you # jagate
I flilimate hufahod # flilimate
choframeec glafrukates cojoc # glafrukate
he lodizes choflot # lodize
I mahorate koglohep # mahorate
he frobates dum # frobate
lokeefog jubizes you # jubize
I hukeedate flakuf # hukeedate
