I chukudize him # chukudize
I gomate bomeen # gomate
you jalize you # jalize
you joduhalize frilohoc # joduhalize
he gomates mam # gomate
flihox budakates fakeen # budakate
he leejobates you # leejobate
I joduhalize you # joduhalize
you jiguchucize you # jiguchucize
he kubobizes me # kubobize
he gomates me # gomate
you gaflaxize galuflol # gaflaxize
I dumibate fajur # dumibate
I majulidate lochop # majulidate
I gomate fofax # gomate
you frudupize gop # frudupize
you keebokize me # keebokize
he gomates dufral # gomate
I gomate me # gomate
you fuchuxize gamon # fuchuxize
you jobubate kud # jobubate
cun fuchuxizes moohed # fuchuxize
he gomates luflik # gomate
I fachiconize luk # fachiconize
bagor gomates makil # gomate
he gomates loflifran # gomate
I jobubate me # jobubate
he jagupates limeen # jagupate
kid chafratates me # chafratate
dafak frumiflacates lamochob # frumiflacate
kuhokic lukeedizes me # lukeedize
he flucates higad # flucate
I kifrimate bemoc # kifrimate
I hibabetize cojic # hibabetize
log jikates chubadat # jikate
he framoodafates me # framoodafate
he juhinates jakux # juhinate
he gomates meebac # gomate
he gomates dichig # gomate
flugac meefrikizes him # meefrikize
himilox joglajucizes chumod # joglajucize
frafrun chohirates you # chohirate
lilub gomates hehoglog # gomate
flukod hikizes hafrod # hikize
he budakates ludafrok # budakate
you bubeflubate mameed # bubeflubate
I meebize hap # meebize
he gomates him # gomate
you meefrikize you # meefrikize
I jalize lumeekok # jalize
he moocohopizes filamic # moocohopize
I jiguchucize you # jiguchucize
laglac goglabates me # goglabate
lifrol kubobizes lakof # kubobize
he ludonates kan # ludonate
he modufates fudid # modufate
I janate kofradub # janate
I flicorize chic # flicorize
he gomates cuchuhan # gomate
cof hehucates me # hehucate
you glabemate flip # glabemate
I gomate chodoc # gomate
he franates flufrix # franate
I benize him # benize
you kubobize gladic # kubobize
lumoog gomates dukot # gomate
I jocuhikate hefichop # jocuhikate
liglac gojukizes leemoom # gojukize
het jobubates frux # jobubate
he jicates you # jicate
I kafrodate you # kafrodate
he gomates luflik # gomate
you flofralize dogac # flofralize
you gomate cox # gomate
baloc gomates you # gomate
