you cugutize hechal # cugutize
I dudikize you # dudikize
you glabate glofigub # glabate
he cobipizes chan # cobipize
becumeeb glumimizes chub # glumimize
you glabate frumooflak # glabate
he gobizes biglur # gobize
I chobubize jachofrud # chobubize
I durate cudun # durate
flafligon chodakizes kic # chodakize
you herize hikad # herize
bip dolihadizes cog # dolihadize
I difibenize you # difibenize
he cufrunizes you # cufrunize
hidahet flabilates bijob # flabilate
he mookutates chuglox # mookutate
lalat codumizes hachil # codumize
you jokize mon # jokize
you fogogumate chifrag # fogogumate
he higlurizes you # higlurize
you durate me # durate
he hakixizes keelir # hakixize
I fogize hoglad # fogize
I hugofrigize hechix # hugofrigize
you hadize jahik # hadize
you kigize buhun # kigize
he codumizes mahed # codumize
I badabate you # badabate
I bohadunize flichihik # bohadunize
you leefofrodize chumoocur # leefofrodize
you lubelate me # lubelate
I lohebize dumijil # lohebize
michijap badabates leel # badabate
hehim glabates him # glabate
he juhilates kagom # juhilate
I floglaxate meebod # floglaxate
frul lirizes keemeek # lirize
flohakim jokizes jud # jokize
bihib jijoflicizes me # jijoflicize
you glojudapize him # glojudapize
jileed glabates gluluc # glabate
you maglanize you # maglanize
luglux hadizes glumak # hadize
I jokize luhoc # jokize
lichob hijocizes him # hijocize
you cobipize dodugok # cobipize
he dukofunizes froglam # dukofunize
humip herizes frofrut # herize
you kilabize hikeegom # kilabize
you jokize cop # jokize
I goglalize bachac # goglalize
bidoc fohubates him # fohubate
gulajir manizes ligac # manize
he herizes godat # herize
he jubafates lod # jubafate
he codumizes fluglod # codumize
gak chobirizes him # chobirize
you lifakifate diflug # lifakifate
I joharate me # joharate
flachal flakinizes hijop # flakinize
he frogumizes hohot # frogumize
hifrof luhoxizes chameex # luhoxize
flilim jibubizes me # jibubize
he fumizes difludub # fumize
I flifogate kohak # flifogate
I lihexize you # lihexize
frin jomibates fruhim # jomibate
I cobipize you # cobipize
I mookutate fuglofrol # mookutate
fachod fuchitates lodag # fuchitate
you luhoxize jobofruf # luhoxize
you bimimate dilog # bimimate
he jufitizes me # jufitize
mifon cuhadamates fakit # cuhadamate
I manize him # manize
he glabates me # glabate
you bukupate kibuchut # bukupate
glacux jokizes kug # jokize
he fumizes glocomeec # fumize
he loflinates mookob # loflinate
